Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 993 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 992 và 1|| Thời gian tách : 2022-06-11 10:51:24
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 992 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 991 và 1|| Thời gian tách : 2022-06-11 10:51:26
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 991 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 990 và 1|| Thời gian tách : 2022-06-11 10:51:28
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 990 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 989 và 1|| Thời gian tách : 2022-06-11 10:51:30
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-11 10:51:35
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 989 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 988 và 1|| Thời gian tách : 2022-06-11 10:51:38
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 988 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 987 và 1|| Thời gian tách : 2022-06-11 10:51:40
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 987 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 986 và 1|| Thời gian tách : 2022-06-11 10:51:42
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 986 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 985 và 1|| Thời gian tách : 2022-06-11 10:51:43
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 985 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 984 và 1|| Thời gian tách : 2022-06-11 10:51:46
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 984 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 983 và 1|| Thời gian tách : 2022-06-11 10:51:48
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 983 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 982 và 1|| Thời gian tách : 2022-06-11 10:51:51
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 982 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 981 và 1|| Thời gian tách : 2022-06-11 10:52:02
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 981 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 980 và 1|| Thời gian tách : 2022-06-11 10:52:19
Name : duyduy đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-11 10:52:29
Name : duyduy đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-11 10:52:37
Name : duyduy đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-11 10:52:44
Name : duyduy đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-11 10:52:51
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 980 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 979 và 1|| Thời gian tách : 2022-06-11 10:55:35
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 979 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 978 và 1|| Thời gian tách : 2022-06-11 10:55:37
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 978 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 977 và 1|| Thời gian tách : 2022-06-11 10:55:38
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 977 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 976 và 1|| Thời gian tách : 2022-06-11 10:55:40
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 976 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 975 và 1|| Thời gian tách : 2022-06-11 10:55:42
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 975 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 974 và 1|| Thời gian tách : 2022-06-11 10:55:43
Name : duyduy đã tách vật phẩm || Vật phẩm tách: 828 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-11 10:55:45
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 974 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 973 và 1|| Thời gian tách : 2022-06-11 10:55:45
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 973 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 972 và 1|| Thời gian tách : 2022-06-11 10:55:46
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 972 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 971 và 1|| Thời gian tách : 2022-06-11 10:55:52
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 971 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 970 và 1|| Thời gian tách : 2022-06-11 10:55:54
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 970 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 969 và 1|| Thời gian tách : 2022-06-11 10:55:57
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 969 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 968 và 1|| Thời gian tách : 2022-06-11 10:56:00
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 968 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 967 và 1|| Thời gian tách : 2022-06-11 10:56:02
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 967 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 966 và 1|| Thời gian tách : 2022-06-11 10:56:04
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 966 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 965 và 1|| Thời gian tách : 2022-06-11 10:56:06
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 965 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 964 và 1|| Thời gian tách : 2022-06-11 10:56:09
