Name : boy007x đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19100 và 100|| Thời gian tách : 2022-06-07 02:24:18
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4264 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4244 và 20|| Thời gian tách : 2022-06-06 13:49:12
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4244 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4224 và 20|| Thời gian tách : 2022-06-07 02:25:28
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4224 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4204 và 20|| Thời gian tách : 2022-06-07 02:25:30
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4204 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 4184 và 20|| Thời gian tách : 2022-06-07 02:25:32
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3742 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3722 và 20|| Thời gian tách : 2022-06-07 02:28:49
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3722 || Số lượng tách: 24 || Số lượng vật phẩm sau khi tách: 3698 và 24|| Thời gian tách : 2022-06-07 02:29:43
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3698 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 3678 và 20|| Thời gian tách : 2022-06-07 02:30:09
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3678 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3652 và 26|| Thời gian tách : 2022-06-07 02:31:35
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3652 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3626 và 26|| Thời gian tách : 2022-06-07 02:32:26
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4184 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 4158 và 26|| Thời gian tách : 2022-06-07 02:33:32
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4158 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 4132 và 26|| Thời gian tách : 2022-06-07 02:33:53
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3626 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3600 và 26|| Thời gian tách : 2022-06-07 02:34:31
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3600 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3574 và 26|| Thời gian tách : 2022-06-07 02:35:07
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3574 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3548 và 26|| Thời gian tách : 2022-06-07 02:35:09
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3548 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3522 và 26|| Thời gian tách : 2022-06-07 02:35:11
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3522 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3496 và 26|| Thời gian tách : 2022-06-07 02:36:18
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3496 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3470 và 26|| Thời gian tách : 2022-06-07 02:37:06
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3470 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 3445 và 25|| Thời gian tách : 2022-06-07 02:37:53
Name : behangxom đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 3445 || Số lượng tách: 26 || Số lượng vật phẩm sau khi tách: 3419 và 26|| Thời gian tách : 2022-06-07 02:37:56
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19980 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19960 và 20|| Thời gian tách : 2022-06-07 02:41:21
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19960 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19940 và 20|| Thời gian tách : 2022-06-07 02:41:27
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19940 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19920 và 20|| Thời gian tách : 2022-06-07 02:41:31
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19920 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19900 và 20|| Thời gian tách : 2022-06-07 02:41:34
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19900 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19880 và 20|| Thời gian tách : 2022-06-07 02:41:37
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19880 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19860 và 20|| Thời gian tách : 2022-06-07 02:41:39
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19860 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19840 và 20|| Thời gian tách : 2022-06-07 02:41:46
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19840 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19820 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19820 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19800 và 20|| Thời gian tách : 2022-06-07 02:42:28
Name : trum49 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19800 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 19780 và 20|| Thời gian tách : 2022-06-07 02:42:28
